k	q	p	from	to	time[p]	cost[p]
4	0	1	884	902	1	0
4	0	1	902	914	2	10
4	0	1	914	22	3	10
4	0	1	22	56	12	249
4	0	1	56	1110	13	249
4	0	1	1110	1141	14	259
4	0	1	1141	1159	14	259
4	0	1	1159	1177	14	259
4	0	1	1177	1195	14	259
4	0	1	1195	1213	14	259
4	0	1	1213	1231	14	259
4	0	1	1231	1249	14	259
4	0	1	1249	1267	14	259
4	0	1	1267	1285	14	259
4	0	1	1285	1303	14	259
4	0	2	884	902	1	0
4	0	2	902	920	2	0
4	0	2	920	946	3	10
4	0	2	946	442	3	10
4	0	2	442	444	4	795
4	0	2	444	962	4	795
4	0	2	962	980	4	795
4	0	2	980	998	4	795
4	0	2	998	1016	4	795
4	0	2	1016	1034	4	795
4	0	2	1034	1052	4	795
4	0	2	1052	1069	4	795
4	0	2	1069	1087	4	795
4	0	2	1087	1105	4	795
4	0	2	1105	1123	4	795
4	0	2	1123	1141	4	795
4	0	2	1141	1159	4	795
4	0	2	1159	1177	4	795
4	0	2	1177	1195	4	795
4	0	2	1195	1213	4	795
4	0	2	1213	1231	4	795
4	0	2	1231	1249	4	795
4	0	2	1249	1267	4	795
4	0	2	1267	1285	4	795
4	0	2	1285	1303	4	795
4	0	3	884	902	1	0
4	0	3	902	920	2	0
4	0	3	920	946	3	10
4	0	3	946	964	4	12
4	0	3	964	982	5	14
4	0	3	982	450	5	14
4	0	3	450	453	6	1547
4	0	3	453	456	7	3198
4	0	3	456	1016	7	3198
4	0	3	1016	1034	7	3198
4	0	3	1034	1052	7	3198
4	0	3	1052	1069	7	3198
4	0	3	1069	1087	7	3198
4	0	3	1087	1105	7	3198
4	0	3	1105	1123	7	3198
4	0	3	1123	1141	7	3198
4	0	3	1141	1159	7	3198
4	0	3	1159	1177	7	3198
4	0	3	1177	1195	7	3198
4	0	3	1195	1213	7	3198
4	0	3	1213	1231	7	3198
4	0	3	1231	1249	7	3198
4	0	3	1249	1267	7	3198
4	0	3	1267	1285	7	3198
4	0	3	1285	1303	7	3198
4	0	4	884	910	1	10
4	0	4	910	3164	1	10
4	0	4	3164	3169	2	1716
4	0	4	3169	3175	4	3297
4	0	4	3175	3178	5	4948
4	0	4	3178	980	5	4948
4	0	4	980	998	5	4948
4	0	4	998	1016	5	4948
4	0	4	1016	1034	5	4948
4	0	4	1034	1052	5	4948
4	0	4	1052	1069	5	4948
4	0	4	1069	1087	5	4948
4	0	4	1087	1105	5	4948
4	0	4	1105	1123	5	4948
4	0	4	1123	1141	5	4948
4	0	4	1141	1159	5	4948
4	0	4	1159	1177	5	4948
4	0	4	1177	1195	5	4948
4	0	4	1195	1213	5	4948
4	0	4	1213	1231	5	4948
4	0	4	1231	1249	5	4948
4	0	4	1249	1267	5	4948
4	0	4	1267	1285	5	4948
4	0	4	1285	1303	5	4948
4	0	5	1262	1280	1	0
4	0	5	1280	1292	2	10
4	0	5	1292	106	3	10
4	0	5	106	140	12	249
4	0	5	140	1488	13	249
4	0	5	1488	1519	14	259
4	0	5	1519	1537	14	259
4	0	5	1537	1555	14	259
4	0	5	1555	1573	14	259
4	0	5	1573	1591	14	259
4	0	5	1591	1609	14	259
4	0	5	1609	1627	14	259
4	0	5	1627	1645	14	259
4	0	5	1645	1663	14	259
4	0	5	1663	1681	14	259
